ID,Filename,Title,Description,Created At,Updated At,Source
38907376,1_the-moving-poster-we-like-to-move-it.webloc,the moving poster – We like to move it!,D,2025-08-20 11:16:07 UTC,2025-08-20 11:46:11 UTC,https://themovingposter.com/
38907384,2_adocs.webloc,Adocs,"에이독스Adocs는 국내 및 국외에서 활동하는 예술가들의 개인 출판물들을 웹상에 축적해나가고, 이를 대중에게 소개하는 플랫폼입니다. 에이독스에서는 국내 전시도록, 프로젝트북, 비평집, 일러스트 그리고 독립 매거진 등 다양한 아트북을 무료로 열람할 수 있습니다.",2025-08-20 11:16:38 UTC,2025-08-20 11:46:11 UTC,https://adocs.co/
38907883,3_okeesalon-org.webloc,okeesalon.org,Please prove that you are human.,2025-08-20 11:43:49 UTC,2025-08-20 11:46:11 UTC,http://okeesalon.org
38907907,4_.webloc,생태모방지식 서비스 플랫폼,,2025-08-20 11:45:36 UTC,2025-08-20 11:46:31 UTC,https://www.nie-ecobank.kr/biomimicry/cmm/main.do
38907985,5_gced-clearinghouse.webloc,GCED Clearinghouse,"As a global online data hub, GCED Clearinghouse offers seven languages. Find GCED-related policies, best practices, teaching and learning materials, journal articles and other resources collected from around the world. Recent news and events related to GCED from UN, UNESCO, APCEIU are available.",2025-08-20 11:49:32 UTC,2025-08-20 11:50:05 UTC,https://www.gcedclearinghouse.org/
38907994,6_sema-aa.webloc,서울시립 미술아카이브 | SeMA AA,"서울시립 미술아카이브는 기록과 예술을 함께 만나볼 수 있는 미술관입니다. 서울시립 미술아카이브는 여러 창작자, 기획자, 연구자, 단체가 남긴 한국 현대미술의 역사를 좇아 기록을 선별해 모으고, 보존하고, 연구합니다. 또한 서울시립 미술아카이브에서 열리는 활동을 통해 여러 시민들과 관계를 맺고, 새로운 예술을 위한 기반을 마련합니다.",2025-08-20 11:50:13 UTC,2025-08-20 11:51:34 UTC,https://sema.seoul.go.kr/semaaa/front/main.do
38908148,7_korea-queer-archive.webloc,퀴어락-Korea Queer Archive,"국내외 성소수자 관련 도서,문서,영상 등의 자료를 보유하고 있으며, 누구나 열람이 가능한 공공 아카이브입니다.",2025-08-20 11:56:44 UTC,2025-08-20 11:57:13 UTC,https://queerarchive.org/
38908190,8_homepage-prov.webloc,Homepage | PROV,About Us,2025-08-20 11:58:10 UTC,2025-08-20 11:58:18 UTC,https://prov.vic.gov.au/
38958672,9_korica.webloc,KoRICA,한국근현대미술 아카이브 소개About Korean Contemporary Art Archive,2025-08-22 11:58:09 UTC,2025-08-22 11:58:23 UTC,https://korica.org/archive/
38978836,10_hyerin-kim.webloc,Hyerin Kim,"디자이너, 김혜린, designer, hyerin kim, 그래픽 디자이너, graphic designer, 포트폴리오, portfolio",2025-08-23 15:42:34 UTC,2025-08-23 15:42:46 UTC,https://hyerinkim.com
39109262,11_byte-a-visual-archive.webloc,Byte - a visual archive,A visual archive. About.,2025-08-28 01:55:46 UTC,2025-08-28 01:56:01 UTC,https://byte.tsundoku.io/
40257972,12_women-writing-architecture.webloc,Women Writing Architecture,"At the heart of Women Writing Architecture is this ever-growing annotated bibliography, an open-access list of texts written by women about architecture. Created collaboratively through conversations, invitations and spontaneous suggestions, it is offered as a resource for gathering lists of texts, for encouragement, for finding new writers, and for insight into what is happening in the vivid realm where women speak up for themselves.",2025-10-12 07:09:02 UTC,2025-10-12 07:09:11 UTC,https://womenwritingarchitecture.org/
13375434,13_alternative-libraries-and-archives-laca.webloc,Alternative Libraries and Archives | LACA,Alternative Libraries and Archives,2021-09-30 02:20:58 UTC,2025-10-26 12:23:31 UTC,https://lacarchive.com/alternative-libraries-and-archives
10311319,14_lucy-ives.webloc,Lucy Ives,"Lucy Ives is the author of two novels: *Impossible Views of the World* (2017) and *Loudermilk: Or, The Real Poet; Or, The Origin of the World* (2019). Her essays and stories have appeared in *Art in America*, *Artforum*, *The Believer*, *frieze*, *Granta*, and *Vogue*, among other publications.",2021-01-19 18:54:39 UTC,2025-10-12 07:14:50 UTC,http://www.lucy-ives.com
40258019,15_the-creative-independent.webloc,The Creative Independent,The Cre­ative In­de­pen­dent is a re­source of emo­tional and prac­ti­cal guid­ance for cre­ative peo­ple.,2025-10-12 07:25:08 UTC,2025-10-12 07:25:23 UTC,https://thecreativeindependent.com/
